address,suburb,postcode,sale_date,property_type,sale_price,bedrooms,bathrooms,car_spaces,land_size_sqm,floor_area_sqm,year_built,distance_to_cbd_km,notes,source,source_url,collection_date
"8/88 Avenue Road, Mosman NSW 2088",Mosman,2088,12 Sep 2026,Unit,730000,1,1,1,,,,8,,domain.com.au,https://www.domain.com.au/8-88-avenue-road-mosman-nsw-2088-2021088782,2026-09-13
"7/10 Muston Street, Mosman NSW 2088",Mosman,2088,8 Sep 2026,Unit,750000,1,1,0,,,,8,,domain.com.au,https://www.domain.com.au/7-10-muston-street-mosman-nsw-2088-2021103679,2026-09-13
"13/5 The Esplanade, Mosman NSW 2088",Mosman,2088,3 Sep 2026,Unit,1450000,1,1,0,,,,8,,domain.com.au,https://www.domain.com.au/13-5-the-esplanade-mosman-nsw-2088-2021051014,2026-09-13
"1/30 Hale Road, Mosman NSW 2088",Mosman,2088,5 Jun 2026,Townhouse,2180000,3,2,2,235,,,8,"Land size 235sqm stated as ""on title"" in description.",domain.com.au,https://www.domain.com.au/1-30-hale-road-mosman-nsw-2088-2020758609,2026-09-13
"10/116 Belmont Road, Mosman NSW 2088",Mosman,2088,5 Jun 2026,Townhouse,2380000,3,2,2,192,,,8,,domain.com.au,https://www.domain.com.au/10-116-belmont-road-mosman-nsw-2088-2020640198,2026-09-13
"6/800 Military Road, Mosman NSW 2088",Mosman,2088,29 May 2026,Townhouse,2725000,3,2,2,,,,8,,domain.com.au,https://www.domain.com.au/6-800-military-road-mosman-nsw-2088-2020705154,2026-09-13
"3/13 McLeod Street, Mosman NSW 2088",Mosman,2088,15 May 2026,Townhouse,2080000,3,2,2,155.6,,,8,,domain.com.au,https://www.domain.com.au/3-13-mcleod-street-mosman-nsw-2088-2020616301,2026-09-13
"4/19-21 Countess Street, Mosman NSW 2088",Mosman,2088,22 Apr 2026,Townhouse,3000000,3,3,2,,,,8,"Domain categorizes as Townhouse but listing description calls it a ""terrace"" (architect designed terrace) - stylistically may be closer to a terrace house than a typical townhouse.",domain.com.au,https://www.domain.com.au/4-19-21-countess-street-mosman-nsw-2088-2020198142,2026-09-13
"3/701 Military Road, Mosman NSW 2088",Mosman,2088,14 Apr 2026,Townhouse,2125000,3,2,3,237,,,8,,domain.com.au,https://www.domain.com.au/3-701-military-road-mosman-nsw-2088-2020310264,2026-09-13
"5/30 Hale Road, Mosman NSW 2088",Mosman,2088,20 Mar 2026,Townhouse,1835000,2,1,1,185,,,8,,domain.com.au,https://www.domain.com.au/5-30-hale-road-mosman-nsw-2088-2020615137,2026-09-13
"1/105-107 Cowles Road, Mosman NSW 2088",Mosman,2088,7 Mar 2026,Townhouse,2260000,3,2,2,,,,8,,domain.com.au,https://www.domain.com.au/1-105-107-cowles-road-mosman-nsw-2088-2020566558,2026-09-13
"2/16 Betts Street, Parramatta NSW 2150",Parramatta,2150,12 Sep 2026,Unit,660000,2,1,1,,91,,24,,domain.com.au,https://www.domain.com.au/2-16-betts-street-parramatta-nsw-2150-2021061263,2026-09-13
"1404/1-3 Valentine Avenue, Parramatta NSW 2150",Parramatta,2150,11 Sep 2026,Unit,320000,1,1,0,,,,24,"Price notably below suburb median ($492.5k for 1-bed). Unit is in the Mantra Parramatta serviced/hotel-style building marketed for short-term Airbnb letting - different asset class from standard residential strata unit, likely explains low sale price. Flagging as outlier.",domain.com.au,https://www.domain.com.au/1404-1-3-valentine-avenue-parramatta-nsw-2150-2021149469,2026-09-13
"33/68 Great Western Highway, Parramatta NSW 2150",Parramatta,2150,11 Sep 2026,Unit,520000,2,1,1,,116,,24,,domain.com.au,https://www.domain.com.au/33-68-great-western-highway-parramatta-nsw-2150-2020943564,2026-09-13
"505/23 Hassall Street, Parramatta NSW 2150",Parramatta,2150,9 Sep 2026,Unit,660000,2,2,1,,122,,24,,domain.com.au,https://www.domain.com.au/505-23-hassall-street-parramatta-nsw-2150-2020750030,2026-09-13
"89/459-463 Church Street, Parramatta NSW 2150",Parramatta,2150,4 Sep 2026,Unit,580000,2,2,1,,136,,24,,domain.com.au,https://www.domain.com.au/89-459-463-church-street-parramatta-nsw-2150-2020441602,2026-09-13
"8/64-66 Great Western Highway, Parramatta NSW 2150",Parramatta,2150,4 Sep 2026,Unit,425000,1,1,1,,,,24,,domain.com.au,https://www.domain.com.au/8-64-66-great-western-highway-parramatta-nsw-2150-2021071261,2026-09-13
"1702/45 Macquarie Street, Parramatta NSW 2150",Parramatta,2150,4 Sep 2026,Unit,705000,2,2,1,,,,24,,domain.com.au,https://www.domain.com.au/1702-45-macquarie-street-parramatta-nsw-2150-2020659838,2026-09-13
"33 Rosehill St, Parramatta NSW 2150",Parramatta,2150,8 Aug 2026,House,2080000,4,1,1,691,,,24,"Description highlights R4 zoning and redevelopment/subdivision potential - price likely reflects land/development value, not just the existing dwelling.",domain.com.au,https://www.domain.com.au/33-rosehill-st-parramatta-nsw-2150-2020990997,2026-09-13
"124 Thomas Street, Parramatta NSW 2150",Parramatta,2150,27 Jun 2026,House,2300000,3,1,1,739,,,24,"Description explicitly markets this as a development site (STCA) near Parramatta CBD - price reflects development potential, not typical improved-house value.",domain.com.au,https://www.domain.com.au/124-thomas-street-parramatta-nsw-2150-2020502073,2026-09-13
"11 Pemberton Street, Parramatta NSW 2150",Parramatta,2150,20 May 2026,House,1610000,3,1,1,461.6,,,24,,domain.com.au,https://www.domain.com.au/11-pemberton-street-parramatta-nsw-2150-2020721730,2026-09-13
"51 Gore Street, Parramatta NSW 2150",Parramatta,2150,16 May 2026,House,1480000,3,1,1,461.6,,,24,,domain.com.au,https://www.domain.com.au/51-gore-street-parramatta-nsw-2150-2020775848,2026-09-13
"57 Pitt Street, Parramatta NSW 2150",Parramatta,2150,12 May 2026,House,1310000,4,2,2,236,,,24,,domain.com.au,https://www.domain.com.au/57-pitt-street-parramatta-nsw-2150-2020749469,2026-09-13
"28 Marsden Street, Parramatta NSW 2150",Parramatta,2150,2 May 2026,House,1555000,3,1,1,505.9,,,24,Description highlights R4 High Density zoning and development potential (STCA) - price may reflect land/development value.,domain.com.au,https://www.domain.com.au/28-marsden-street-parramatta-nsw-2150-2020744269,2026-09-13
"13 Morton Street, Parramatta NSW 2150",Parramatta,2150,4 Apr 2026,House,1800000,4,3,2,461.6,,,24,,domain.com.au,https://www.domain.com.au/13-morton-street-parramatta-nsw-2150-2020599158,2026-09-13
"58 Crimea Street, Parramatta NSW 2150",Parramatta,2150,23 Jan 2026,House,1620000,3,2,2,613.4,,,24,,domain.com.au,https://www.domain.com.au/58-crimea-street-parramatta-nsw-2150-2020324677,2026-09-13
"138 Railway St, Parramatta NSW 2150",Parramatta,2150,14 Aug 2026,Townhouse,685000,2,1,1,,,,24,,domain.com.au,https://www.domain.com.au/138-railway-st-parramatta-nsw-2150-2021075447,2026-09-13
"2/1-7 Bobart Street, Parramatta NSW 2150",Parramatta,2150,12 Aug 2026,Townhouse,780000,2,1,1,,251,,24,,domain.com.au,https://www.domain.com.au/2-1-7-bobart-street-parramatta-nsw-2150-2021029064,2026-09-13
"1/77-79 Thomas Street, Parramatta NSW 2150",Parramatta,2150,21 Jun 2026,Townhouse,1300000,4,2,2,284,,,24,,domain.com.au,https://www.domain.com.au/1-77-79-thomas-street-parramatta-nsw-2150-2020871307,2026-09-13
"1/28-30 Broughton Street, Parramatta NSW 2150",Parramatta,2150,1 Jun 2026,Townhouse,1068000,3,2,1,196,,,24,,domain.com.au,https://www.domain.com.au/1-28-30-broughton-street-parramatta-nsw-2150-2020710655,2026-09-13
"4/6 Morton Street, Parramatta NSW 2150",Parramatta,2150,10 May 2026,Townhouse,1200000,4,2,2,299,,,24,,domain.com.au,https://www.domain.com.au/4-6-morton-street-parramatta-nsw-2150-2020768325,2026-09-14
"8/3-5 Irving Street, Parramatta NSW 2150",Parramatta,2150,9 Mar 2026,Townhouse,1190000,3,2,2,145,,,24,,domain.com.au,https://www.domain.com.au/8-3-5-irving-street-parramatta-nsw-2150-2020617733,2026-09-14
"10/43 Pemberton Street, Parramatta NSW 2150",Parramatta,2150,31 Jan 2026,Townhouse,1101500,3,2,2,204,,,24,,domain.com.au,https://www.domain.com.au/10-43-pemberton-street-parramatta-nsw-2150-2020501944,2026-09-14
"10 Bilgola Street, Campbelltown NSW 2560",Campbelltown,2560,7 Sep 2026,House,950000,3,1,0,691,,,55,Description markets renovation/development potential (STCA) - may not represent a straightforward improved-house sale.,domain.com.au,https://www.domain.com.au/10-bilgola-street-campbelltown-nsw-2560-2021136723,2026-09-14
"13/102 Dumaresq Street, Campbelltown NSW 2560",Campbelltown,2560,30 Aug 2026,Unit,386500,2,1,1,,,,55,,domain.com.au,https://www.domain.com.au/13-102-dumaresq-street-campbelltown-nsw-2560-2020894720,2026-09-14
"133 Dumaresq Street, Campbelltown NSW 2560",Campbelltown,2560,29 Aug 2026,House,951000,3,1,0,701.9,,,55,"R3 zoning, description markets duplex/development potential (STCA) - price may reflect land value beyond the existing dwelling.",domain.com.au,https://www.domain.com.au/133-dumaresq-street-campbelltown-nsw-2560-2021067001,2026-09-14
"61 Macquarie Avenue, Campbelltown NSW 2560",Campbelltown,2560,28 Aug 2026,House,970500,4,2,2,669,,,55,,domain.com.au,https://www.domain.com.au/61-macquarie-avenue-campbelltown-nsw-2560-2021045340,2026-09-14
"5B Eddington Road, Campbelltown NSW 2560",Campbelltown,2560,28 Aug 2026,Townhouse,1030000,4,2,1,,,,55,"Domain categorizes this as ""Semi-Detached"", not strictly ""Townhouse"" - mapped to Townhouse as closest fit; flagging for review since semi-detached houses can be closer to standalone houses than typical townhouses.",domain.com.au,https://www.domain.com.au/5b-eddington-road-campbelltown-nsw-2560-2021061730,2026-09-14
"20/17 Warby Street, Campbelltown NSW 2560",Campbelltown,2560,27 Aug 2026,Unit,570000,2,1,2,,115,,55,"Listing shows 90m² in one place but description gives a detailed breakdown: Total 147m2 (Internal+balcony 115m2, Parking/storage 32m2) - used 115m2 (internal+balcony) for floor_area_sqm; the 90m2 figure is inconsistent with this breakdown, flagging discrepancy.",domain.com.au,https://www.domain.com.au/20-17-warby-street-campbelltown-nsw-2560-2021065534,2026-09-14
"73/2-10 Tyler Street, Campbelltown NSW 2560",Campbelltown,2560,24 Aug 2026,Unit,597000,2,2,1,,92,,55,"Description breaks down area as Total 122m2, Internal 92m2, balconies+parking+storage the remainder; used internal 92m2 for floor_area_sqm.",domain.com.au,https://www.domain.com.au/73-2-10-tyler-street-campbelltown-nsw-2560-2020871621,2026-09-14
